name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,n,s,b,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,2,0.3,96,7.267766104886355e7,7.267766104886346e7,0.5031459331512451,5,5,0,1647,1628
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,2,0.3,97,7.14301512160252e7,7.14302064623752e7,1.0686490535736084,7,7,0,1626,1604
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,2,0.3,98,7.20055252614368e7,7.20055252614367e7,0.6249558925628662,5,5,0,1631,1614
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,2,0.3,99,7.293691679806557e7,7.293696164822757e7,0.5561349391937256,5,5,0,1649,1633
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,2,0.3,100,7.289494110207134e7,7.289494110207127e7,0.4294281005859375,4,4,0,1639,1624
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.3,101,1.9592151860194013e7,1.9592165438168216e7,0.2258608341217041,5,5,0,551,550
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.3,102,1.9195498919339377e7,1.9195498919339385e7,0.33047008514404297,4,4,0,549,548
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.3,103,1.9116463159246016e7,1.9116463159245264e7,0.16237401962280273,3,3,0,547,546
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.3,104,1.9882936971453894e7,1.9882936971453894e7,0.17886018753051758,4,4,0,556,555
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.3,105,1.8938003694441065e7,1.893800369444106e7,0.10874795913696289,4,4,0,542,541
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.3,106,4.300933735797998e7,4.300933735798001e7,0.10062885284423828,3,3,0,820,819
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.3,107,4.213828261866428e7,4.213829008719745e7,0.8222208023071289,8,8,0,810,808
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.3,108,4.409893048321037e7,4.409893048321034e7,0.5479769706726074,4,4,0,829,827
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.3,109,4.2242649552641004e7,4.224265727871791e7,2.088505983352661,6,6,0,812,811
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.3,110,4.220336102656441e7,4.2203361026564404e7,0.18671393394470215,4,4,0,814,812
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.3,111,7.6114611437345e7,7.611461143734512e7,0.540010929107666,5,5,0,1089,1087
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.3,112,7.68630437518791e7,7.686304375187911e7,0.4658339023590088,5,5,0,1091,1089
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.3,113,7.855799248195195e7,7.855799248195174e7,0.2047879695892334,3,3,0,1107,1105
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.3,114,7.767092679991141e7,7.767092679991144e7,0.4479670524597168,4,4,0,1098,1096
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.3,115,7.687014083760497e7,7.687014083760507e7,0.6654767990112305,4,4,0,1093,1091
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.3,116,1.2275748338520834e8,1.2275748338520832e8,0.21021795272827148,4,4,0,1381,1378
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.3,117,1.1956128929430929e8,1.1956128929430926e8,0.2409040927886963,4,4,0,1365,1361
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.3,118,1.2011247703506123e8,1.2011251213220553e8,0.46762800216674805,4,4,0,1365,1361
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.3,119,1.2032710160909976e8,1.2032710160909948e8,0.15724897384643555,3,3,0,1368,1365
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.3,120,1.2134551707072179e8,1.2134551707072173e8,0.15280818939208984,3,3,0,1374,1371
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.3,121,1.71161227990476e8,1.711612171486856e8,0.5665309429168701,4,4,0,1637,1633
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.3,122,1.7313919673358947e8,1.7313932263480678e8,0.30196499824523926,3,3,0,1643,1638
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.3,123,1.7222741839042625e8,1.7222741839042622e8,0.8061161041259766,4,4,0,1635,1632
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.3,124,1.7751533040753886e8,1.7751533040753898e8,0.6706631183624268,5,5,0,1662,1659
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.3,125,1.724507082396824e8,1.7245086112226173e8,0.5456299781799316,5,5,0,1636,1633
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.3,126,2.7010590572384298e7,2.7010609057483975e7,0.39598608016967773,4,4,0,542,542
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.3,127,2.7655861388075996e7,2.7655861388075996e7,0.08751893043518066,3,3,0,548,548
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.3,128,2.7252822490753572e7,2.7252822490753543e7,0.9367690086364746,6,6,0,545,544
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.3,129,2.790472855268482e7,2.79047285526848e7,0.13965392112731934,4,4,0,551,551
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.3,130,2.7507918072734706e7,2.750791889230951e7,0.2083899974822998,5,5,0,548,548
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.3,131,6.118838703769565e7,6.118844791521194e7,0.7735860347747803,6,6,0,818,817
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.3,132,6.275264618868281e7,6.2752646188682735e7,5.064886093139648,3,3,0,826,826
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.3,133,6.191162293795692e7,6.191162293795688e7,1.0826900005340576,3,3,0,822,822
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.3,134,6.1055035581011124e7,6.105503558101114e7,4.507640838623047,4,4,0,814,814
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.3,135,6.110155419530011e7,6.110155419530023e7,0.6535518169403076,4,4,0,815,815
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.3,136,1.0908010361292277e8,1.0908010361292273e8,0.1261310577392578,3,3,0,1092,1091
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.3,137,1.0911008932188359e8,1.0911008932188343e8,0.6145830154418945,3,3,0,1090,1090
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.3,138,1.1103684845397756e8,1.1103684845397756e8,0.5308589935302734,5,5,0,1098,1097
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.3,139,1.085277901919156e8,1.0852779019191557e8,0.7903728485107422,4,4,0,1088,1087
